KanalId,Yorum Yazarı,VideoId,Beğeni Sayısı,Yanıt Sayısı,Tarih,Yorum,Sınıflandırma
UCuflH9yGYE6pm0TPqpJmD3w,@AdemSaraçlı,wFN958FuEqI,0,0,2024-11-17T14:56:22Z,Emeklerinize sağlık Teşekkürler Hocam.,Pozitif
UCNtXHe4QdiDFGuXITGSOazw,@durdaneakca2559,wFN958FuEqI,0,0,2024-11-14T14:32:33Z,Hocam emeğinize sağlık ders için teşekkürler. Son kısımda sormak istediğim bir nokta var. 301 kısmını github&#39;a yükleme sırasında ayrı bir repository olarak yükledi. Bu durum herhangi bir sorun teşkil eder mi?,Nötr
UC4sIVlkUOrflwUN6pdSjvJQ,@bet1206,wFN958FuEqI,0,0,2024-11-13T19:30:18Z,Buraya kadar iyi gelmiştim ama mac kullanıcısı olduğum için burda kilitlendim visual studio code kullanıyorum bu videodaki çoğu aşamayı yapamadım nasıl yapabilirim,Nötr
UCtp8XqdGOOnezKhRk4wnxFA,@sahindesign85,wFN958FuEqI,0,0,2024-11-12T13:43:52Z,"Bu hayatta kendime yaptığım en iyi yatırım biraz ingilizceden anlamak oldu. Şu an 9. dakikadayım. Hocamızdan önce şöyle bir göz attım pattern design&#39;a. Neden bilmem bir cümleyi bile çevirebildiğimde sevindirik oluyorum, haz alıyorum bundan. Evet istersem sağ tık yapıp çevir diyebilirim ama orijinalinden okuyup anlamak da ayrı bir keyif. Galiba ilerde dil bilmek böyle hem nostaljik hem de el emeği göz nuru bir tat verecek. Hani bugün el işçiliği ile üretilmiş şeyler daha pahalı ya onun gibi. &#39;yapay zeka çeviriyor yaaa&#39; demek de aslında o kadar yeterli değil gibi. Kimi kelimeler çevirince anlamını kaybediyor derler. Neyse derse geri döneyim.",Nötr
UCtp8XqdGOOnezKhRk4wnxFA,@sahindesign85,wFN958FuEqI,0,0,2024-11-12T13:16:12Z,İşlerim dolayısıyla takip edemedim. 14 bile geldi ben daha yeni buna geçtim. Bittiğinde tekrar bir yorum atacağım. Yine güzel bir ders olacağından şüphem yok. Tek sıkıntım ise neyi niye yapıyoruz biraz kafam karıştı. Şu an için ezberden gidiyorum ama ana çatı bu videolar olmak üzere detayları araştıracağım. Elinize emeğinize sağlık şimdiden.,Negatif
UCMG6NvpTx9__sNAbflWOGpA,@kerimozturk2125,wFN958FuEqI,0,0,2024-11-11T15:07:16Z,11.11.2024 - Tekirdağ,Pozitif
UCd8Q8WwzM-F5fJVjxAvBaBg,@superpaylasmlarrr4324,wFN958FuEqI,0,0,2024-11-11T07:02:48Z,11.11.2024 Kayseri,Pozitif
UCMpXYlN2zr1eK1WOHoyO-XA,@AbdullahHaktan-h3k,wFN958FuEqI,0,0,2024-11-10T13:19:57Z,teşekkürler hocam,Pozitif
UClJe0M8Lnvfy7gkfwgM7kNQ,@mustafacengizadanir,wFN958FuEqI,0,0,2024-11-10T11:03:27Z,"10.11.2024- Balıkesir. Sonsuz saygı, sevgi, hiç bitmeyecek minnet ve özlemle... 🖤",Pozitif
UChaZPYg2j0_1LyqAldmC4sQ,@cihatturgut2011,wFN958FuEqI,0,0,2024-11-10T01:14:25Z,❤,Pozitif
UCrt_sznDL2lRdftoM7HCkwQ,@ismailsel6554,wFN958FuEqI,0,0,2024-11-09T19:51:48Z,teşekkürler hocam,Pozitif
UCpvp-R6D8AJqKoPGPCwFk9A,@1874z-iq2sr,wFN958FuEqI,0,0,2024-11-09T18:38:37Z,🌟Emeğinize sağlık hocam 🌟,Pozitif
UCRNWlZ5OXeyAEyhC3tMrMVA,@Hasan_Halici,wFN958FuEqI,0,6,2024-11-09T15:53:55Z,Hocam çok yoğun olduğumdan dolayı eğitimi başından itibaren takip edemedim şimdi başlayıp taskları yapma imkanım var mı sertifika için yoksa bundan önceki konuları zaten biliyo gibiyim bu dersten devam edeceğim,Negatif
UC6NSPBpBN7-ztm3ThTGm8SA,@HasanBozkusOfficial,wFN958FuEqI,0,0,2024-11-09T15:38:34Z,Hocam kolay gelsin :),Nötr
UCn3xZUWZCOy6fA13ynMzHAg,@receppazarli,wFN958FuEqI,1,0,2024-11-09T13:38:47Z,09.11.2024 Bursa&#39;dan izliyorum. Gelecekte videoyu izleyecek arkadaşlara şimdiden selam olsun. İyi çalışmalar herkese👋,Pozitif
UC250K8wIDdyJPI9o2L2hy8w,@BurakTemelkaya,wFN958FuEqI,3,2,2024-11-09T12:17:57Z,"Videolarınızın sesi diğer youtube videolarına göre çok az kalıyor hep bilgisayar sesini 2 katına çıkarıyorum sesi arttırırsanız çok güzel olur.<br>Birde generic repository ile ilgili bir bilgi vermek istiyorum.<br>Bir veri eklendikten veya güncellendikten sonra (silmede de id dönebilir) o değeri geri dönerseniz eklenen veriler, şu anki yapımızda idyi geri alabiliriz. Bu sayede tekrar veriyi çekmemiz gerek kalmaz.<br>Birdahaki videoda böyle yaparsanız daha güzel olabilir.<br>T Insert(T t);<br><br>T Insert(T t){<br>        Context.Entry(t).State = EntityState.Added;<br>        Context.SaveChanges();<br>        return t;<br>}<br><br>Gibi bir kod yazılabilir. Birdahaki video için fikir olması amaçlı yazdım.",Nötr
UCXHan5C5YoeZIJ33M7Ostmg,@rumeysaa.3051,wFN958FuEqI,0,0,2024-11-09T11:43:43Z,Sınav haftası bitsin devam edeceğim,Negatif
UCjJIyszDsaprniaZLfeJllg,@asusasus8720,wFN958FuEqI,0,0,2024-11-09T10:49:47Z,oo vide yüklenmiş heme yapalım.,Pozitif
